R,Rstd,T,Tstd
6.5206792,0.0000041,4.3847405,0.0014521
6.5586562,0.0000124,4.6721672,0.0008433
6.6400196,0.0000049,5.3317052,0.0019214
6.6697580,0.0000062,5.5877691,0.0006887
6.6985509,0.0000111,5.8435259,0.0011562
6.7516342,0.0000122,6.3356603,0.0017439
6.7715640,0.0000181,6.5272506,0.0009554
6.7938432,0.0000241,6.7460459,0.0013287
6.8190505,0.0000179,6.9995571,0.0007892
6.8434380,0.0000238,7.2499981,0.0016111
6.8667423,0.0000218,7.4939694,0.0010443
6.8911595,0.0000189,7.7555441,0.0006228
6.9131187,0.0000214,7.9945853,0.0018334
6.9369788,0.0000271,8.2596037,0.0012449
6.9595818,0.0000149,8.5139332,0.0007331
6.9807379,0.0000208,8.7557977,0.0015662
7.0034624,0.0000281,9.0180235,0.0011884
7.0241401,0.0000249,9.2578705,0.0008992
7.0469195,0.0000211,9.5268413,0.0014773
7.0668277,0.0002381,9.7638891,0.0019445
7.0552600,0.0000572,9.6213868,0.0006554
7.0670090,0.0000711,9.7612942,0.0008221
7.0868215,0.0002722,9.9975543,0.0016883
7.1066509,0.0001763,10.2355416,0.0013442
7.1267448,0.0001741,10.4784766,0.0011221
7.1693783,0.0001831,10.9926870,0.0007449
7.1767524,0.0000438,11.0807712,0.0015887
7.1861104,0.0000621,11.1939251,0.0012334
7.1668596,0.0002061,10.9615124,0.0006992
7.1873643,0.0001242,11.2092881,0.0018221
7.2070323,0.0000602,11.4457821,0.0010554
7.2275368,0.0001249,11.6909984,0.0014332
7.2473028,0.0001142,11.9274843,0.0007881
7.2676214,0.0001331,12.1695355,0.0016229
7.2874725,0.0001149,12.4043085,0.0009441
7.3074700,0.0001238,12.6394498,0.0012664
7.3285022,0.0001351,12.8835758,0.0018117
7.3486209,0.0001182,13.1165198,0.0015221
7.3692155,0.0000934,13.3516334,0.0011442
7.3913872,0.0003661,13.6031314,0.0008331
7.4128751,0.0001302,13.8443719,0.0019554
7.4336257,0.0001621,14.0741982,0.0006887
7.4552635,0.0001142,14.3105358,0.0012441
7.4768757,0.0000962,14.5437667,0.0017112
7.4987550,0.0000791,14.7773879,0.0008554
7.5222199,0.0001111,15.0239886,0.0013442
7.5446087,0.0000602,15.2571895,0.0010221
7.5675202,0.0000754,15.4913762,0.0007449
7.5899741,0.0000761,15.7176216,0.0018664
7.6135698,0.0000881,15.9519850,0.0012441
7.6374383,0.0000672,16.1855921,0.0009554
7.6614785,0.0000682,16.4168041,0.0015112
7.6857312,0.0000471,16.6477422,0.0008221
7.7104456,0.0000359,16.8787191,0.0014554
7.7356227,0.0000561,17.1110357,0.0010221
7.7615550,0.0000678,17.3450000,0.0007881
7.7614438,0.0000902,17.3448440,0.0019221
7.7875083,0.0000741,17.5765835,0.0012334
7.8137823,0.0000662,17.8064854,0.0016554
7.8405439,0.0000748,18.0379221,0.0008442
7.8678737,0.0000632,18.2711745,0.0014221
7.8959036,0.0000692,18.5047328,0.0009881
7.9247081,0.0000812,18.7408764,0.0015442
7.9540460,0.0000808,18.9783186,0.0011221
7.9840466,0.0000592,19.2167761,0.0007554
8.0144668,0.0000742,19.4554858,0.0018442
8.0454974,0.0000501,19.6939010,0.0012221
8.0770085,0.0000632,19.9315037,0.0006442
8.1088206,0.0000367,20.1691530,0.0014881
8.1416233,0.0000692,20.4095744,0.0011554
8.1764099,0.0000659,20.6608550,0.0008442
8.2115207,0.0000578,20.9092777,0.0017221
8.2463981,0.0000677,21.1524570,0.0012554
8.2809070,0.0000321,21.3892185,0.0006334
8.3186700,0.0000189,21.6441906,0.0015221
8.3571680,0.0000061,21.8999958,0.0011442
8.3948166,0.0000046,22.1461611,0.0008221
8.4352330,0.0000272,22.4062833,0.0014554
8.4749602,0.0000059,22.6576389,0.0006881
8.5145713,0.0000055,22.9047796,0.0012334
8.5530320,0.0000153,23.1410169,0.0017442
8.5955490,0.0000102,23.3980898,0.0008554
8.6351068,0.0000082,23.6340856,0.0013442
8.6784717,0.0000123,23.8888999,0.0010221
8.7219821,0.0000069,24.1407310,0.0006449
8.7665316,0.0000198,24.3951522,0.0015662
8.8098892,0.0000248,24.6392759,0.0011221
8.8563467,0.0000137,24.8968202,0.0008442
8.9004316,0.0000141,25.1381799,0.0014554