m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err;h18;h18_err;h19;h19_err;h20;h20_err;h21;h21_err;h22;h22_err
2;4.67231752e+00;8.38831175e-04;4.33406706e+00;5.53229805e-01;6.89133136e+00;3.19156281e+00;5.12735989e+01;1.00328630e+01;2.64311926e+02;1.04224510e+02;-3.63251716e+02;2.32035788e+02;2.19071602e+02;2.63991769e+02;-5.31733822e+01;1.55040944e+02;8.30805245e-01;3.72468716e+01;-2.93920576e+00;1.08988068e-01;7.30801075e+00;5.65469722e-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4.67216735e+00;8.43299874e-04;3.60007062e+03;2.90275180e+05;2.63935719e+03;2.13200882e+05;6.06184477e+03;4.84131543e+05;2.28269473e+04;1.84060634e+06;2.49102267e+05;2.00934594e+07;-3.35691259e+05;2.70633251e+07;2.01912241e+05;1.62715299e+07;-4.78147153e+04;3.85202010e+06;7.65658253e+02;6.20484721e+04;-2.36295266e+03;1.91253114e+05;5.67946773e+03;4.58502143e+05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4.67186626e+00;8.32291761e-04;-3.54871472e+01;1.97278321e+00;4.01554171e+01;6.31769095e+00;1.73334802e+02;1.77690664e+01;-6.11394148e+02;9.27822046e+01;1.41914192e+03;4.07161773e+02;1.90174777e+03;4.15591555e+02;-1.71727754e+03;2.98272146e+02;4.82728900e+02;8.37033298e+01;-1.14978867e+01;4.24501726e-01;4.88435536e+01;3.04391025e+00;-1.06686401e+02;7.81855212e+00;1.34278630e+02;1.37066734e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4.67207689e+00;8.36788144e-04;-3.17730612e+01;4.74220297e+00;3.75717788e+00;3.49942234e+01;1.92450481e+02;3.02420923e+01;-5.79262522e+00;4.30699161e+02;-1.52483548e+03;2.08203981e+03;9.72450896e+03;5.84906654e+03;-4.56083309e+03;1.98056862e+03;1.05183000e+03;3.82119029e+02;-1.06833180e+01;1.02346811e+00;3.71005987e+01;1.17588318e+01;-4.81698648e+01;5.21927491e+01;-1.73144128e+01;1.26440150e+02;2.31155100e+02;1.89126614e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;4.67219068e+00;8.37070023e-04;-3.52260197e+01;8.79225845e+00;3.56006790e+01;6.90588542e+01;1.09278461e+02;1.15930680e+02;-4.49213762e+00;4.86155382e+02;-1.04473611e+03;2.72655361e+03;7.28795672e+03;8.12806846e+03;6.30300923e+02;8.27836031e+03;3.10633756e+02;1.24909441e+03;-1.14165935e+01;1.88623831e+00;4.65866618e+01;2.23032878e+01;-9.71239206e+01;1.04819634e+02;1.20415844e+02;2.76443600e+02;-1.65347568e+01;4.53725522e+02;2.47226664e+02;3.45908883e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;4.67215501e+00;8.40957450e-04;-3.56089436e+01;1.46319369e+02;3.99433902e+01;1.11530855e+03;1.07981609e+02;1.58659403e+03;-1.71181488e+02;1.73664512e+03;1.20832449e+01;1.61038354e+03;3.78859092e+03;2.17791617e+04;5.35896756e+03;1.52266115e+05;1.29970816e+03;7.95733970e+04;-1.15028717e+01;3.12990609e+01;4.80458930e+01;3.59306109e+02;-1.06258364e+02;1.55527942e+03;1.49049404e+02;3.69997710e+03;-6.52142293e+01;5.67595912e+03;2.37345897e+02;4.39676623e+03;1.61450639e+02;9.61481436e+03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;4.67216106e+00;8.39968528e-04;-3.64145572e+01;3.08295456e+01;4.47379526e+01;2.30488994e+02;1.13673216e+02;3.70507620e+02;-2.19575661e+02;9.06572813e+02;-3.14833742e+01;4.92445467e+03;4.45052291e+03;1.98584298e+04;2.24243753e+03;5.87947470e+04;4.97129476e+03;3.94491463e+04;-1.16751023e+01;6.60407616e+00;4.97346556e+01;7.50998102e+01;-1.10608128e+02;3.30108875e+02;1.45841163e+02;8.49740565e+02;-2.70940471e+01;1.51411799e+03;1.33730559e+02;1.77755455e+03;2.20609138e+02;1.68150291e+03;5.75186384e+01;5.83202486e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;4.67215302e+00;8.41482775e-04;-3.67521434e+01;3.38449334e+01;4.41696966e+01;2.63376223e+02;1.43507914e+02;4.53053216e+02;-3.22319302e+02;9.22959833e+02;1.51741889e+02;8.69703797e+03;3.94566533e+03;4.17822035e+04;1.74268856e+03;1.22806251e+05;1.83782502e+03;1.42641307e+05;-1.17489686e+01;7.24021350e+00;4.99718817e+01;8.42006198e+01;-1.06029512e+02;3.78828520e+02;1.16244450e+02;9.65848978e+02;5.02240792e+01;1.67108132e+03;-1.44732872e+01;1.89287176e+03;2.72067621e+02;2.54174321e+03;-8.09301118e+01;3.94725672e+03;2.24705849e+01;4.30115664e+02;;;;;;;;;;;;;;;;;;;;;;;;;;
10;4.67207775e+00;8.41870072e-04;-3.60134660e+01;3.18086332e+02;3.70182267e+01;2.42030181e+03;1.76259307e+02;2.93238866e+03;-4.24186399e+02;1.22503626e+04;5.06453590e+02;4.70412980e+04;3.21282703e+03;1.06123004e+05;-2.37472058e+00;1.78482133e+02;2.24413577e+03;1.78065670e+05;-1.15968320e+01;6.81059450e+01;4.80780514e+01;7.84187215e+02;-9.59328749e+01;3.36897042e+03;9.12153022e+01;7.27875931e+03;7.44046655e+01;7.70183268e+03;-2.37980800e+01;5.43693230e+03;8.84729237e+01;1.28957706e+04;1.13578386e+02;2.35918231e+04;-8.14423551e+01;1.12955191e+04;2.35158741e+01;2.40754243e+03;;;;;;;;;;;;;;;;;;;;;;;;
11;4.67215205e+00;8.42233217e-04;-3.43513035e+01;2.08471223e+02;2.36540341e+01;1.60903869e+03;1.69344019e+02;2.32300799e+03;-1.67293992e+02;5.24245316e+03;-4.27531741e+02;1.36677415e+04;5.03922123e+03;6.95307497e+04;3.22978498e+03;3.27306388e+05;-3.13892385e+03;1.92343670e+05;-1.12342004e+01;4.46089680e+01;4.35319776e+01;5.16718510e+02;-7.70556587e+01;2.23453856e+03;5.68719357e+01;5.08706621e+03;9.32595818e+01;7.17723599e+03;1.01919679e+02;7.73289751e+03;4.66828069e+01;7.17252649e+03;-4.32719886e+01;5.52312328e+03;-2.86962811e+01;2.10314425e+03;-2.43774099e+00;6.70114292e+02;6.34086250e+00;3.22427286e+02;;;;;;;;;;;;;;;;;;;;;;
12;4.67216655e+00;8.42352120e-04;-3.57858815e+01;1.40143222e+02;3.48686695e+01;1.06811962e+03;1.56049245e+02;1.66993776e+03;-1.99271579e+02;3.99004345e+03;-5.45965018e+02;2.10862092e+04;6.07878691e+03;7.93196047e+04;-7.64797974e+02;1.81768902e+05;2.95361507e+03;3.70178773e+05;-1.15399964e+01;3.00064056e+01;4.70696036e+01;3.45400280e+02;-9.12389746e+01;1.52989208e+03;8.00926261e+01;3.87875674e+03;8.75192732e+01;6.65624902e+03;5.36769993e+01;7.30986130e+03;5.88768079e+01;8.40103538e+03;1.32811220e+02;1.20184336e+04;-3.77564687e+01;7.54072286e+03;-6.10176186e+01;6.63966619e+03;6.40756702e+01;3.33629407e+03;-1.79716124e+01;6.94110594e+02;;;;;;;;;;;;;;;;;;;;
13;4.67215866e+00;8.41978577e-04;-3.58465260e+01;1.48706140e+02;3.30708607e+01;1.08765346e+03;1.81741432e+02;1.34325754e+03;-3.13437222e+02;3.86691987e+03;-1.58695361e+01;3.23258147e+03;3.93921678e+03;4.23349631e+04;1.76306383e+03;2.05301477e+05;-7.47361289e+02;1.02015888e+05;-1.15558412e+01;3.18056256e+01;4.68834596e+01;3.54984139e+02;-8.75180876e+01;1.45935373e+03;6.72953068e+01;3.02175758e+03;9.55207254e+01;3.62658329e+03;3.36450875e+01;5.21904656e+03;3.07567265e+01;5.16432409e+03;4.61670706e+01;5.15214257e+03;1.10132528e+01;2.81078519e+03;-4.88896947e+01;4.85162731e+03;-4.98966557e+01;7.55415036e+03;8.76979259e+01;5.10559296e+03;-3.08074259e+01;1.27034428e+03;;;;;;;;;;;;;;;;;;
14;4.67214578e+00;8.42015320e-04;-3.49780233e+01;9.53557714e+01;2.60896222e+01;6.01613535e+02;1.91594435e+02;1.30281651e+03;-2.98642290e+02;5.45064953e+03;4.05024682e+01;6.29110224e+03;3.61581030e+03;5.69927168e+04;2.25899169e+03;2.04213735e+05;-7.73853338e+02;1.31469030e+05;-1.13711162e+01;2.03894909e+01;4.47182830e+01;2.05680014e+02;-7.86816790e+01;7.14296911e+02;5.25811679e+01;1.86122535e+03;1.00982437e+02;5.48706575e+03;4.67000746e+01;1.07222843e+04;3.57923744e+01;5.09403364e+03;1.22733026e+01;2.92630291e+03;2.48818561e+01;4.15505068e+03;8.34489385e+00;1.93831149e+03;-7.27795805e+01;3.48432512e+03;-2.49256075e+00;9.60805037e+02;6.88422114e+01;2.94532223e+03;-3.06915229e+01;1.08916423e+03;;;;;;;;;;;;;;;;
15;4.67212424e+00;8.41968857e-04;-3.51937627e+01;2.05941423e+02;2.82902816e+01;1.57087091e+03;1.87137456e+02;3.07296435e+03;-3.19289024e+02;7.23031445e+03;1.63345236e+02;2.61263055e+04;3.49545186e+03;8.38740895e+04;1.47753720e+03;2.09955088e+05;2.93779874e+02;9.13183471e+04;-1.14186023e+01;4.40815469e+01;4.54202282e+01;5.06260122e+02;-8.27897580e+01;2.28123024e+03;6.54291278e+01;6.01817631e+03;8.05583483e+01;1.08232746e+04;5.23910533e+01;1.28590212e+04;2.62013151e+01;5.70277442e+03;4.67716616e+01;3.76374840e+03;-3.99964491e+00;7.20609132e+02;2.49857500e+01;4.76270312e+03;-4.04081943e+01;4.60545211e+03;-3.05839782e+01;7.91423713e+03;3.74186991e+01;6.69775262e+03;1.44037427e+01;4.74717310e+03;-1.47163387e+01;1.59502535e+03;;;;;;;;;;;;;;
16;4.67213294e+00;8.41261089e-04;-3.80813797e+01;4.22240299e+01;4.34757391e+01;4.27412106e+02;2.23825979e+02;1.84608295e+03;-5.00046133e+02;2.62861350e+03;-7.63915862e+01;1.20512536e+04;4.99817979e+03;5.37010309e+04;-2.53484679e+03;1.43841104e+05;-3.02440509e+03;1.81936039e+05;-1.20352338e+01;9.03127626e+00;5.10038636e+01;1.23864269e+02;-9.24405131e+01;7.90976326e+02;2.83533688e+01;2.89573979e+03;2.54108521e+02;6.26601711e+03;-2.57577653e+02;7.91400352e+03;3.76412926e+01;5.54327369e+03;6.13179949e+01;7.38694979e+03;-4.66339289e+01;1.18989549e+04;-1.79313812e+02;8.42736173e+03;5.27023409e+01;7.23595855e+03;1.54650770e+02;1.05296454e+04;-2.74655530e+01;4.00409031e+03;-1.49718627e+02;6.14773892e+03;1.13396864e+02;4.84076489e+03;-2.49356340e+01;1.16568451e+03;;;;;;;;;;;;
17;4.67214172e+00;8.42500028e-04;-3.64810972e+01;2.51909131e+02;3.78792614e+01;1.98174210e+03;1.80029935e+02;3.39984357e+03;-3.72200184e+02;7.32706694e+03;2.37407197e+02;3.55286756e+04;3.27058479e+03;9.34160442e+04;1.59435600e+03;2.02017681e+05;1.17222814e+03;1.69120906e+05;-1.16930540e+01;5.39233459e+01;4.85034007e+01;6.33448089e+02;-9.44871232e+01;2.88753886e+03;8.32076520e+01;7.09716436e+03;7.18060547e+01;1.03656037e+04;3.53739208e+01;1.03348474e+04;4.32780774e+01;2.02201869e+04;8.80876220e+01;2.28644125e+04;2.40104910e+01;7.81188645e+03;-2.89673720e+01;1.30629924e+04;-5.03925508e+01;1.39335037e+04;-1.86362964e+01;4.29870541e+03;6.95350419e+01;6.36890105e+03;2.41966816e+00;1.03710628e+03;4.83080836e+00;1.55417315e+03;-5.01745447e+01;2.52397199e+03;2.44989097e+01;1.04405810e+03;;;;;;;;;;
18;4.67215983e+00;8.42527659e-04;-3.98319056e+01;3.14424828e+02;6.25918024e+01;2.30909778e+03;1.54987237e+02;3.47292112e+03;-4.00165998e+02;7.52421248e+03;-2.90494553e+02;1.20884805e+04;6.09679261e+03;1.01545298e+05;-4.39007552e+03;4.65002495e+05;-3.48722142e+03;3.51983400e+05;-1.24065555e+01;6.72870478e+01;5.63897692e+01;7.54215011e+02;-1.23564467e+02;3.23186680e+03;1.19831840e+02;8.10858035e+03;1.20660379e+02;1.56300630e+04;-2.15613588e+02;2.35345249e+04;2.36539244e+02;3.95999913e+04;-3.72563802e+02;3.23898253e+04;9.43793271e+01;2.07735868e+04;7.74830843e+01;1.32895940e+04;-1.83359451e+02;1.84186044e+04;1.70588142e+02;1.89892552e+04;-9.11668270e+01;1.53992453e+04;1.47265109e+02;4.07600990e+04;-3.03665602e+02;7.95712369e+04;3.15698805e+02;7.02866799e+04;-1.62292415e+02;3.12080442e+04;3.37505056e+01;5.70000682e+03;;;;;;;;
19;4.67217768e+00;8.42806418e-04;-3.12011627e+01;1.78387497e+02;-9.85934534e+00;1.39495521e+03;2.40044322e+02;3.13024624e+03;1.60970859e+02;5.27991501e+03;-2.58002076e+03;4.33786453e+04;1.14636491e+04;1.93861697e+05;-3.13763192e+03;5.79434607e+05;-8.59798880e+03;4.72928596e+05;-1.05538009e+01;3.81886479e+01;3.34203280e+01;4.44865299e+02;-2.03612557e+01;2.06091133e+03;-1.02530100e+02;5.79521501e+03;3.38258220e+02;1.05326744e+04;4.39732830e+01;1.11709013e+04;-2.50130756e+02;3.45017866e+04;-1.69571045e+02;5.89978246e+04;1.74202525e+02;4.73736514e+04;-1.91638746e+02;2.59103887e+04;-4.18626434e+01;1.52088616e+04;1.81842377e+02;1.75902874e+04;-6.88751452e+01;1.45113316e+04;-4.83581072e+01;1.47569969e+04;8.94649984e+00;6.59118843e+03;3.42556830e+01;7.94219345e+03;2.41551819e+01;1.40110693e+04;-5.63795765e+01;9.60989165e+03;2.12594229e+01;2.32548426e+03;;;;;;
20;4.67218592e+00;8.42750595e-04;-3.33680191e+01;1.54124257e+02;8.93156392e+00;1.15893384e+03;2.06404642e+02;3.97118053e+03;1.20986023e+02;6.94509204e+03;-2.59763110e+03;4.54235390e+04;1.24356754e+04;1.68143546e+05;-6.66788755e+03;5.34069155e+05;-8.09822841e+03;6.43997339e+05;-1.10161632e+01;3.29867232e+01;3.91716287e+01;3.66490012e+02;-4.63015572e+01;1.77892703e+03;-5.05096793e+01;5.42720343e+03;3.16566123e+02;1.00189978e+04;-8.40582463e+01;1.50294478e+04;-1.00058593e+02;2.90414251e+04;-2.53781969e+02;3.06661722e+04;-5.63522712e+01;1.40421758e+04;6.06613722e+01;8.48188647e+03;2.20928006e+01;6.38555410e+03;6.86462912e+01;2.51233994e+04;-1.36147337e+02;2.44339071e+04;-7.37689197e+01;2.09376203e+04;1.69912659e+02;2.19709650e+04;-4.74883877e-01;4.00440333e+02;-2.30009918e+01;1.59964146e+04;-7.93397231e+01;2.45172861e+04;6.48945080e+01;1.77539173e+04;-1.19368044e+01;4.59488205e+03;;;;
21;4.67218541e+00;8.43295731e-04;-4.25028664e+02;3.41262957e+03;1.20358100e+03;1.56034485e+04;-5.94742635e-01;2.24078914e+02;-4.79550528e+03;4.19878270e+04;-9.59147673e+03;2.36292067e+05;5.06978885e+04;1.07456323e+06;-3.54482832e+03;5.27552962e+05;-4.49317705e+04;1.27585868e+06;-9.47084049e+01;7.28753426e+02;6.13306733e+02;5.91929555e+03;-1.78474075e+03;1.79943418e+04;2.14909971e+03;2.38190321e+04;2.03170121e+02;3.17966039e+04;-1.96622736e+03;9.96733064e+04;1.41998015e+03;1.78008783e+05;9.27643518e+02;1.95054584e+05;-5.66915960e+02;1.79423397e+05;-3.11055798e+03;2.98348787e+05;-7.40237941e+02;3.43074949e+05;2.73585097e+03;6.74899091e+05;1.94214859e+03;8.96328398e+05;-6.40777264e+02;6.36588263e+05;-1.54777424e+03;9.33797453e+05;-2.15789574e+03;1.10168466e+06;5.37618043e+02;6.43924046e+05;2.65049026e+03;9.67751992e+05;1.14033759e+03;1.18480242e+06;-3.40551027e+03;6.50889281e+05;1.24187822e+03;1.38825299e+05;;
22;4.67217113e+00;8.42896192e-04;-2.18323748e+01;2.87464481e+02;-8.32501111e+01;3.17530490e+03;2.98187170e+02;9.82541277e+03;7.01849533e+02;1.55517531e+04;-3.83898386e+03;6.18155975e+04;1.33232704e+04;1.55020197e+05;2.30919931e+02;4.37776634e+04;-1.34018584e+04;2.27883132e+05;-8.54796697e+00;6.15628476e+01;9.87381445e+00;9.19168255e+02;7.47013534e+01;5.32307351e+03;-2.60641305e+02;1.69594658e+04;3.99791624e+02;3.63223765e+04;3.17599928e+02;5.56252486e+04;-3.82013291e+02;6.93398145e+04;-4.13946873e+02;5.44162277e+04;-2.07459133e+00;1.11378061e+03;3.32823763e+02;3.92728302e+04;1.06910518e+02;3.30518607e+04;-2.63167437e+02;4.51189188e+04;-2.72786298e+02;9.33988029e+04;-1.27868909e+02;7.01368787e+04;3.02841950e+02;1.29123392e+05;6.17099507e+02;1.74012805e+05;-2.64037284e+02;1.47703506e+05;-4.72493131e+02;1.53161645e+05;-1.52098140e+02;1.47432908e+05;3.77028198e+02;1.19420701e+05;8.56979417e+01;7.32380462e+04;-1.16562279e+02;1.81449670e+04
